iter	Passed	Remaining
0	0	81
1	1	71
2	2	68
3	2	62
4	3	62
5	3	61
6	4	60
7	5	59
8	5	58
9	6	57
10	7	57
11	7	56
12	8	55
13	8	55
14	9	54
15	10	53
16	10	53
17	11	52
18	12	51
19	12	51
20	13	50
21	14	49
22	14	49
23	15	48
24	15	47
25	16	47
26	17	47
27	18	46
28	18	45
29	19	45
30	20	45
31	21	44
32	21	43
33	22	43
34	23	43
35	24	42
36	24	42
37	25	41
38	26	41
39	26	40
40	27	39
41	27	38
42	28	37
43	29	37
44	30	36
45	30	36
46	31	35
47	32	34
48	32	34
49	33	33
50	34	33
51	35	32
52	35	31
53	36	31
54	37	30
55	37	29
56	38	29
57	39	28
58	39	27
59	40	27
60	41	26
61	42	25
62	43	25
63	44	24
64	44	24
65	45	23
66	46	22
67	47	22
68	48	21
69	49	21
70	49	20
71	50	19
72	51	19
73	52	18
74	53	17
75	54	17
76	54	16
77	55	15
78	56	15
79	57	14
80	58	13
81	59	12
82	59	12
83	60	11
84	61	10
85	62	10
86	63	9
87	64	8
88	64	8
89	65	7
90	66	6
91	67	5
92	68	5
93	69	4
94	70	3
95	70	2
96	71	2
97	72	1
98	73	0
99	74	0
