iter	Passed	Remaining
0	1	1007
1	1	901
2	2	868
3	3	872
4	4	880
5	5	877
6	5	848
7	6	826
8	7	814
9	8	807
10	8	799
11	9	795
12	10	788
13	11	789
14	11	783
15	12	777
16	13	776
17	14	772
18	14	769
19	15	764
20	16	760
21	17	755
22	17	750
23	18	752
24	19	754
25	20	756
26	21	763
27	22	764
28	22	762
29	23	762
30	24	761
31	25	760
32	25	761
33	26	758
34	27	757
35	28	755
36	29	755
37	29	754
38	30	754
39	31	752
40	32	750
41	32	749
42	33	749
43	34	751
44	35	750
45	36	749
46	36	746
47	37	745
48	38	745
49	39	744
50	40	744
51	40	742
52	41	741
53	42	740
54	42	738
55	43	737
56	44	736
57	45	735
58	46	733
59	46	733
60	47	732
61	48	732
62	49	732
63	50	731
64	50	729
65	51	728
66	52	727
67	53	727
68	54	728
69	54	730
70	55	729
71	56	727
72	57	725
73	57	723
74	58	723
75	59	721
76	60	722
77	60	720
78	61	719
79	62	718
80	63	716
81	64	716
82	64	712
83	65	712
84	66	711
85	66	710
86	67	709
87	68	708
88	69	708
89	69	707
90	70	707
91	71	705
92	72	704
93	72	702
94	73	700
95	74	698
96	74	696
97	75	695
98	76	693
99	76	692
100	77	691
101	78	690
102	79	690
103	80	689
104	80	688
105	81	686
106	82	685
107	82	683
108	83	682
109	84	680
110	84	679
111	85	677
112	86	676
113	86	674
114	87	673
115	88	671
116	88	669
117	89	667
118	89	665
119	90	664
120	91	662
121	91	660
122	92	658
123	92	656
124	93	655
125	94	654
126	95	653
127	95	652
128	96	651
129	97	650
130	97	648
131	98	647
132	99	646
133	99	644
134	100	643
135	101	641
136	101	640
137	102	639
138	102	637
139	103	636
140	104	635
141	104	632
142	105	631
143	105	629
144	106	628
145	107	627
146	107	625
147	108	624
148	109	623
149	109	623
150	110	621
151	111	620
152	111	619
153	112	618
154	113	617
155	113	616
156	114	614
157	115	613
158	115	612
159	116	611
160	116	608
161	117	607
162	118	606
163	118	605
164	119	603
165	119	602
166	121	603
167	121	602
168	122	601
169	123	600
170	123	599
171	124	598
172	125	597
173	125	596
174	126	596
175	127	594
176	127	593
177	128	592
178	128	591
179	129	590
180	130	589
181	130	588
182	131	587
183	132	586
184	132	585
185	133	584
186	134	583
187	134	582
188	135	582
189	136	582
190	137	582
191	138	581
192	138	580
193	139	580
